tick,blue,yellow,green
0,0,0,0
1,13,0,0
2,13,0,0
3,13,0,0
4,13,0,0
5,14,0,0
6,15,0,0
7,15,0,0
8,13,0,2
9,13,0,3
10,13,0,3
11,12,2,4
12,11,3,6
13,11,3,7
14,12,3,7
15,10,4,11
16,9,5,11
17,9,7,11
18,9,8,11
19,9,8,12
20,6,12,12
21,5,14,12
22,6,14,12
23,8,13,12
24,8,9,17
25,4,6,27
26,4,6,27
27,4,6,28
28,4,6,28
29,4,6,28
30,4,6,28
31,4,6,28
32,4,6,28
33,4,6,28
34,4,6,29
35,4,6,31
36,4,6,32
37,5,6,33
38,6,6,34
39,8,6,35
40,10,6,36
41,11,6,37
42,11,6,37
43,10,5,39
44,10,5,39
45,9,4,41
46,9,4,41
47,9,4,41
48,9,4,41
49,9,4,41
50,9,4,41
51,9,4,41
52,9,4,41
