tick,blue,yellow,green,uninformed
0,5,5,0,240
1,5,5,0,240
2,6,5,0,239
3,7,6,0,237
4,8,7,0,235
5,9,7,0,234
6,12,7,0,231
7,13,7,0,230
8,13,7,0,230
9,13,7,0,230
10,14,8,0,228
11,16,10,0,224
12,19,10,0,221
13,21,10,0,219
14,22,11,0,217
15,25,11,0,214
16,27,11,0,212
17,30,12,0,208
18,34,11,1,204
19,36,12,2,200
20,40,12,2,196
21,42,14,2,192
22,45,15,2,188
23,48,16,2,184
24,49,18,2,181
25,51,18,2,179
26,53,21,2,174
27,53,22,2,173
28,53,22,2,173
29,55,23,2,170
30,53,24,4,169
31,55,25,5,165
32,56,25,7,162
33,58,27,7,158
34,59,27,8,156
35,58,28,9,155
36,58,27,11,154
37,60,28,13,149
38,60,29,15,146
39,60,30,16,144
40,59,33,17,141
41,60,35,18,137
42,60,35,20,135
43,62,37,21,130
44,63,35,24,128
45,64,39,26,121
46,64,40,27,119
47,63,40,29,118
48,62,41,34,113
49,60,41,39,110
50,62,40,41,107
51,61,40,42,107
52,64,40,43,103
53,64,41,45,100
54,63,42,50,95
55,64,43,50,93
56,64,40,55,91
57,62,39,58,91
58,61,41,59,89
59,60,39,65,86
60,60,39,68,83
61,60,40,70,80
62,58,40,76,76
63,61,38,79,72
64,61,37,84,68
65,60,37,88,65
66,59,37,90,64
67,59,37,94,60
68,59,36,97,58
69,59,36,98,57
70,61,37,98,54
71,62,37,98,53
72,61,34,105,50
73,61,34,107,48
74,60,33,110,47
75,59,31,115,45
76,59,31,118,42
77,56,31,122,41
78,55,30,127,38
79,54,30,131,35
80,53,30,133,34
81,51,29,139,31
82,49,28,145,28
83,48,28,148,26
84,45,27,153,25
85,44,27,155,24
86,44,27,157,22
87,42,25,161,22
88,39,23,166,22
89,38,23,169,20
90,36,21,175,18
91,31,21,181,17
92,28,18,187,17
93,25,18,190,17
94,25,17,193,15
95,24,17,195,14
96,22,16,198,14
97,22,16,198,14
98,20,16,201,13
99,20,16,201,13
100,18,16,203,13
101,17,15,205,13
102,13,15,210,12
103,10,14,214,12
104,7,14,218,11
105,7,13,220,10
106,7,11,222,10
107,7,11,222,10
108,6,10,224,10
109,5,9,228,8
110,5,9,228,8
111,4,9,231,6
112,3,7,234,6
113,3,6,236,5
114,3,5,237,5
115,3,5,237,5
116,3,5,239,3
117,3,4,241,2
118,3,3,242,2
119,3,3,242,2
120,2,2,244,2
121,2,2,245,1
122,1,2,246,1
123,1,1,247,1
124,1,1,247,1
